,artist,album
2242,António Zambujo,Rua da Emenda
2244,D.A.M.A.,Uma questão de princípio
2245,Mariza,Best Of Mariza
2249,Tony Carreira,Sempre mais
2252,António Zambujo,Até pensei que fosse minha
2253,Carminho,Carminho canta Tom Jobim
2254,Ana Moura,Moura
2255,Panda e Os Caricas,Panda e Os Caricas 3
2258,Ana Moura,Desfado
2261,Mariza,Mundo
2262,D.A.M.A.,Dá-me um segundo
2264,Mariza,Best Of Mariza
2267,António Zambujo,Rua da Emenda
2274,D.A.M.A.,Lado a lado
2281,Ana Moura,Moura
2283,Ana Moura,Best Of
2286,Mariza,Mundo
2287,Ana Moura,Desfado
2289,Tony Carreira,Sempre mais
2293,António Zambujo,Do avesso
2294,Tony Carreira,As cançoes das nossas vidas
2295,Mariza,Mariza [2018]
2296,Pedro Abrunhosa,Espiritual
2297,Carminho,Maria
2300,Panda e Os Caricas,A volta ao mundo
2301,Mariza,Best Of Mariza
2303,Panda e Os Caricas,Panda e Os Caricas
2306,Tony Carreira,Ao vivo no pavilhao atlantico
2307,Pedro Abrunhosa,Palco
2309,Mariza,Fado curvo
2319,Tony Carreira,Vagabundo por amor
2323,Paulo Gonzo,Paulo Gonzo
2329,Tony Carreira,A vida que eu escolhi
2337,Mariza,Concerto em Lisboa
2338,Paulo Gonzo,Paulo Gonzo
2344,Ana Moura,Para além da saudade
2345,Mariza,Concerto em Lisboa
2346,Paulo Gonzo,Perfil
2353,Tony Carreira,O homem que sou
2357,Deolinda,Canção ao lado
2358,Mariza,Terra
2365,Paulo Gonzo,Perfil
2371,Ana Moura,Leva-me aos fados
2375,Tony Carreira,O homem que sou
2377,Deolinda,Canção ao lado
2380,Tony Carreira,O mesmo de sempre
2381,Deolinda,Dois selos e um carimbo
2382,Deolinda,Canção ao lado
2383,Pedro Abrunhosa,Longe
2384,Mariza,Fado tradicional
2391,Ana Moura,Leva-me aos fados
2392,Carminho,Alma
2398,Mariza,Concerto em Lisboa
2400,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
2402,Carminho,Fado
2404,Tony Carreira,O mesmo de sempre
2406,Tony Carreira,Essencial
2407,Ana Moura,Desfado
2408,Panda e Os Caricas,Panda e Os Caricas
2411,Carminho,Alma
2417,António Zambujo,Quinto
2421,Paulo Gonzo,Duetos
2422,Pedro Abrunhosa,Contramão
2424,Ana Moura,Desfado
2425,Tony Carreira,25 anos
2427,António Zambujo,Quinto
2428,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
2433,Tony Carreira,Essencial
2435,António Zambujo,Rua da Emenda
2436,D.A.M.A.,Uma questão de princípio
2438,Tony Carreira,Sempre
2439,Mariza,Best Of Mariza
2442,Ana Moura,Desfado
2443,Carminho,Canto
2446,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
2447,António Zambujo,Quinto
2451,Deolinda,Outras histórias
2452,Ana Moura,Moura
2453,Mariza,Mundo
2455,Ana Moura,Desfado
2456,António Zambujo,Rua da Emenda
2457,D.A.M.A.,Dá-me um segundo
2465,Mariza,Best Of Mariza
2466,D.A.M.A.,Uma questão de princípio
2467,Tony Carreira,Sempre mais
2468,António Zambujo,Até pensei que fosse minha
2469,Carminho,Carminho canta Tom Jobim
2471,Ana Moura,Moura
2472,Panda e Os Caricas,Panda e Os Caricas 3
2476,Mariza,Mundo
2477,Ana Moura,Desfado
2478,Mariza,Best Of Mariza
2481,D.A.M.A.,Dá-me um segundo
2482,António Zambujo,Rua da Emenda
2490,D.A.M.A.,Lado a lado
2491,Ana Moura,Best Of
2498,Ana Moura,Moura
2499,Ana Moura,Desfado
2504,Tony Carreira,As cançoes das nossas vidas
2506,António Zambujo,Do avesso
2507,Mariza,Mariza [2018]
2508,Pedro Abrunhosa,Espiritual
2510,Panda e Os Caricas,Panda e Os Caricas
2512,Panda e Os Caricas,A volta ao mundo
2513,Carminho,Maria
2515,Mariza,Best Of Mariza
2517,Pedro Abrunhosa,Palco
2518,Tony Carreira,Ao vivo no pavilhao atlantico
2519,Mariza,Fado curvo
2522,Mariza,Fado em mim
2530,Tony Carreira,Vagabundo por amor
2533,Paulo Gonzo,Paulo Gonzo
2535,Mariza,Transparente
2539,Tony Carreira,A vida que eu escolhi
2547,Mariza,Concerto em Lisboa
2552,Ana Moura,Para além da saudade
2553,Mariza,Concerto em Lisboa
2555,Paulo Gonzo,Perfil
2558,Tony Carreira,A vida que eu escolhi
2561,Tony Carreira,O homem que sou
2562,Deolinda,Canção ao lado
2566,Mariza,Terra
2578,Paulo Gonzo,Perfil
2580,Ana Moura,Leva-me aos fados
2584,Mariza,Terra
2585,Tony Carreira,O homem que sou
2587,Deolinda,Canção ao lado
2591,Tony Carreira,O mesmo de sempre
2593,Deolinda,Dois selos e um carimbo
2594,Deolinda,Canção ao lado
2595,Mariza,Fado tradicional
2597,Pedro Abrunhosa,Longe
2598,Ana Moura,Leva-me aos fados
2604,Carminho,Alma
2612,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
2613,Carminho,Fado
2616,Tony Carreira,Essencial
2617,Deolinda,Mundo pequenino
2618,Ana Moura,Desfado
2620,Panda e Os Caricas,Panda e Os Caricas
2621,Carminho,Alma
2629,António Zambujo,Quinto
2633,Paulo Gonzo,Duetos
2634,Pedro Abrunhosa,Contramão
2636,Ana Moura,Desfado
2638,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
2639,Tony Carreira,25 anos
2640,António Zambujo,Quinto
2642,Carminho,Alma
2647,António Zambujo,Rua da Emenda
2648,D.A.M.A.,Uma questão de princípio
2650,Mariza,Best Of Mariza
2652,Tony Carreira,Sempre
2654,Carminho,Canto
2655,Ana Moura,Desfado
2659,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
2660,Paulo Gonzo,Duetos
2661,António Zambujo,Quinto
2663,Deolinda,Outras histórias
2664,Ana Moura,Moura
2666,Mariza,Mundo
2667,D.A.M.A.,Dá-me um segundo
2668,António Zambujo,Rua da Emenda
2670,Ana Moura,Desfado
2674,Mariza,Best Of Mariza
2676,D.A.M.A.,Uma questão de princípio
2677,Tony Carreira,Sempre mais
2678,António Zambujo,Até pensei que fosse minha
2679,Carminho,Carminho canta Tom Jobim
2680,Ana Moura,Moura
2683,António Zambujo,Rua da Emenda
2684,Ana Moura,Desfado
2687,Mariza,Mundo
2689,Mariza,Best Of Mariza
2690,Panda e Os Caricas,Panda e Os Caricas 3
2697,D.A.M.A.,Lado a lado
2698,Ana Moura,Best Of
2701,Ana Moura,Moura
2703,Carminho,Carminho canta Tom Jobim
2707,Ana Moura,Desfado
2709,Mariza,Concerto em Lisboa
2715,António Zambujo,Do avesso
2717,Mariza,Mariza [2018]
2719,Tony Carreira,As cançoes das nossas vidas
2720,Pedro Abrunhosa,Espiritual
2721,Mariza,Best Of Mariza
2723,Carminho,Maria
2727,Tony Carreira,Ao vivo no pavilhao atlantico
2729,Pedro Abrunhosa,Palco
2730,Mariza,Fado curvo
2736,Tony Carreira,Vagabundo por amor
2740,Paulo Gonzo,Paulo Gonzo
2741,Mariza,Transparente
2746,Tony Carreira,A vida que eu escolhi
2756,Mariza,Concerto em Lisboa
2759,Mariza,Concerto em Lisboa
2762,Ana Moura,Para além da saudade
2763,Paulo Gonzo,Perfil
2767,Tony Carreira,A vida que eu escolhi
2770,Tony Carreira,O homem que sou
2771,Deolinda,Canção ao lado
2772,Mariza,Terra
2778,Ana Moura,Para além da saudade
2789,Ana Moura,Leva-me aos fados
2790,Paulo Gonzo,Perfil
2791,Mariza,Terra
2793,Tony Carreira,O homem que sou
2795,Carminho,Fado
2796,Deolinda,Canção ao lado
2801,Tony Carreira,O mesmo de sempre
2803,Pedro Abrunhosa,Longe
2805,Deolinda,Canção ao lado
2808,Deolinda,Dois selos e um carimbo
2809,Mariza,Fado tradicional
2812,Ana Moura,Leva-me aos fados
2814,Carminho,Alma
2821,Carminho,Fado
2823,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
2828,Tony Carreira,Essencial
2829,Deolinda,Mundo pequenino
2831,Panda e Os Caricas,Panda e Os Caricas
2832,Ana Moura,Desfado
2839,Carminho,Alma
2843,Paulo Gonzo,Duetos
2846,Pedro Abrunhosa,Contramão
2848,Ana Moura,Desfado
2849,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
2850,Tony Carreira,25 anos
2855,Carminho,Alma
2856,António Zambujo,Quinto
2859,D.A.M.A.,Uma questão de princípio
2862,António Zambujo,Rua da Emenda
2866,Mariza,Best Of Mariza
2867,Tony Carreira,Sempre
2869,Ana Moura,Desfado
2870,Carminho,Canto
2872,Ana Moura,Moura
2874,Deolinda,Outras histórias
2875,D.A.M.A.,Dá-me um segundo
2876,Mariza,Mundo
2877,António Zambujo,Rua da Emenda
2879,Ana Moura,Desfado
2880,D.A.M.A.,Uma questão de princípio
2883,Mariza,Best Of Mariza
2885,Paulo Gonzo,Diz-me
2886,Tony Carreira,Sempre mais
2888,Ana Moura,Moura
2889,Carminho,Carminho canta Tom Jobim
2890,António Zambujo,Até pensei que fosse minha
2891,António Zambujo,Rua da Emenda
2894,Ana Moura,Desfado
2896,Mariza,Mundo
2897,Panda e Os Caricas,Panda e Os Caricas 3
2898,D.A.M.A.,Dá-me um segundo
2899,Mariza,Best Of Mariza
2907,D.A.M.A.,Lado a lado
2910,Ana Moura,Best Of
2914,Ana Moura,Desfado
2917,Carminho,Carminho canta Tom Jobim
2918,Ana Moura,Moura
2919,Mariza,Best Of Mariza
2925,António Zambujo,Do avesso
2926,Pedro Abrunhosa,Espiritual
2927,Mariza,Best Of Mariza
2928,Mariza,Mariza [2018]
2929,Tony Carreira,As cançoes das nossas vidas
2931,Panda e Os Caricas,Panda e Os Caricas
2933,Carminho,Maria
2936,Tony Carreira,Ao vivo no pavilhao atlantico
2939,Pedro Abrunhosa,Palco
2947,Tony Carreira,Vagabundo por amor
2951,Mariza,Transparente
2952,Paulo Gonzo,Paulo Gonzo
2956,Tony Carreira,A vida que eu escolhi
2972,Paulo Gonzo,Perfil
2973,Ana Moura,Para além da saudade
2975,Mariza,Concerto em Lisboa
2976,Tony Carreira,A vida que eu escolhi
2980,Tony Carreira,O homem que sou
2982,Deolinda,Canção ao lado
2983,Mariza,Terra
2991,Ana Moura,Para além da saudade
3000,Ana Moura,Leva-me aos fados
3005,Paulo Gonzo,Perfil
3006,Deolinda,Canção ao lado
3007,Mariza,Terra
3011,Mariza,Fado tradicional
3014,Tony Carreira,O mesmo de sempre
3016,Deolinda,Canção ao lado
3018,Pedro Abrunhosa,Longe
3019,Deolinda,Dois selos e um carimbo
3021,Ana Moura,Leva-me aos fados
3024,Carminho,Alma
3034,Carminho,Fado
3037,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
3038,Tony Carreira,Essencial
3039,Deolinda,Mundo pequenino
3041,Ana Moura,Desfado
3042,Panda e Os Caricas,Panda e Os Caricas
3043,Paulo Gonzo,Só gestos - Edição especial
3048,Carminho,Alma
3052,António Zambujo,Quinto
3055,Mariza,Concerto em Lisboa
3058,Paulo Gonzo,Duetos
3059,Pedro Abrunhosa,Contramão
3062,Ana Moura,Desfado
3064,Tony Carreira,25 anos
3065,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
3068,Mariza,Concerto em Lisboa
3073,António Zambujo,Quinto
3074,D.A.M.A.,Uma questão de princípio
3079,António Zambujo,Rua da Emenda
3082,Mariza,Best Of Mariza
3084,Tony Carreira,Sempre
3087,Ana Moura,Desfado
3090,Ana Moura,Moura
3094,Deolinda,Outras histórias
3096,Mariza,Mundo
3097,D.A.M.A.,Dá-me um segundo
3098,Ana Moura,Desfado
3099,António Zambujo,Rua da Emenda
3102,Carminho,Canto
3104,D.A.M.A.,Uma questão de princípio
3106,Tony Carreira,Sempre mais
3107,Paulo Gonzo,Diz-me
3110,Ana Moura,Moura
3111,Carminho,Carminho canta Tom Jobim
3112,António Zambujo,Até pensei que fosse minha
3113,Ana Moura,Desfado
3115,Panda e Os Caricas,Panda e Os Caricas 3
3118,António Zambujo,Rua da Emenda
3125,D.A.M.A.,Lado a lado
3126,Mariza,Best Of Mariza
3127,Ana Moura,Best Of
3129,Ana Moura,Desfado
3131,Ana Moura,Moura
3133,Carminho,Carminho canta Tom Jobim
3134,Mariza,Concerto em Lisboa
3142,Mariza,Mariza [2018]
3144,António Zambujo,Do avesso
3146,Pedro Abrunhosa,Espiritual
3148,Tony Carreira,As cançoes das nossas vidas
3149,Mariza,Best Of Mariza
3150,Panda e Os Caricas,A volta ao mundo
3151,Panda e Os Caricas,Panda e Os Caricas
3153,Tony Carreira,Ao vivo no pavilhao atlantico
3156,Mariza,Fado curvo
3157,Pedro Abrunhosa,Palco
3162,Tony Carreira,Vagabundo por amor
